,thingid,year,month,dayofmonth,hourofday,aggregatedata,avgtemperature,day,enddata,startdata,enddatatime,endtime,startdatatime,starttime,siteid,subcommunityid,Datetime,week
2,43dc4fc1-b1c1-4291-947e-5a286996eb75,2021,4,20,6,351.0,25.79375076293945,2,42461888.0,42461536.0,2021-04-20 06:58:47.458+04,2021-04-20 06:59:59.999+04,2021-04-20 06:01:25.398+04,2021-04-20 06:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2021-04-20 06:00:00+04,16
47,43dc4fc1-b1c1-4291-947e-5a286996eb75,2021,4,20,5,359.8999938964844,25.90625,2,42461536.0,42461176.0,2021-04-20 05:58:24.376+04,2021-04-20 05:59:59.999+04,2021-04-20 05:01:02.104+04,2021-04-20 05:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2021-04-20 05:00:00+04,16
95,43dc4fc1-b1c1-4291-947e-5a286996eb75,2021,4,20,4,355.5,26.20000076293945,2,42461176.0,42460820.0,2021-04-20 04:58:01.705+04,2021-04-20 04:59:59.999+04,2021-04-20 04:00:40.24+04,2021-04-20 04:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2021-04-20 04:00:00+04,16
104,43dc4fc1-b1c1-4291-947e-5a286996eb75,2021,4,20,3,382.1000061035156,26.558332443237305,2,42460820.0,42460440.0,2021-04-20 03:57:39.186+04,2021-04-20 03:59:59.999+04,2021-04-20 03:00:17.998+04,2021-04-20 03:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2021-04-20 03:00:00+04,16
153,43dc4fc1-b1c1-4291-947e-5a286996eb75,2021,4,20,2,364.2999877929688,27.03125,2,42460440.0,42460076.0,2021-04-20 02:57:16.985+04,2021-04-20 02:59:59.999+04,2021-04-20 02:02:55.073+04,2021-04-20 02:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2021-04-20 02:00:00+04,16
200,43dc4fc1-b1c1-4291-947e-5a286996eb75,2021,4,20,1,426.5,27.28333282470703,2,42460076.0,42459648.0,2021-04-20 01:59:53.506+04,2021-04-20 01:59:59.999+04,2021-04-20 01:02:30.839+04,2021-04-20 01:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2021-04-20 01:00:00+04,16
208,43dc4fc1-b1c1-4291-947e-5a286996eb75,2021,4,20,0,444.2999877929688,27.276470184326172,2,42459648.0,42459204.0,2021-04-20 00:59:29.762+04,2021-04-20 00:59:59.999+04,2021-04-20 00:02:06.561+04,2021-04-20 00:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2021-04-20 00:00:00+04,16
252,43dc4fc1-b1c1-4291-947e-5a286996eb75,2021,4,19,23,453.20001220703125,27.368749618530273,1,42459204.0,42458752.0,2021-04-19 23:59:05.528+04,2021-04-19 23:59:59.999+04,2021-04-19 23:01:45.591+04,2021-04-19 23:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2021-04-19 23:00:00+04,16
303,43dc4fc1-b1c1-4291-947e-5a286996eb75,2021,4,19,22,448.70001220703125,27.45499992370605,1,42458752.0,42458304.0,2021-04-19 22:58:44.553+04,2021-04-19 22:59:59.999+04,2021-04-19 22:01:22.521+04,2021-04-19 22:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2021-04-19 22:00:00+04,16
307,43dc4fc1-b1c1-4291-947e-5a286996eb75,2021,4,19,21,422.1000061035156,27.564706802368164,1,42458304.0,42457880.0,2021-04-19 21:58:21.409+04,2021-04-19 21:59:59.999+04,2021-04-19 21:00:59.837+04,2021-04-19 21:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2021-04-19 21:00:00+04,16
