,thingid,year,month,dayofmonth,hourofday,aggregatedata,avgtemperature,day,enddata,startdata,enddatatime,endtime,startdatatime,starttime,siteid,subcommunityid,Datetime,week
330722,43dc4fc1-b1c1-4291-947e-5a286996eb75,2020,2,25,23,369.6499938964844,21.600000381469727,1,37330152.0,37329780.0,2020-02-25 23:59:59.999+04,2020-02-25 23:59:59.999+04,2020-02-25 23:00:00+04,2020-02-25 23:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2020-02-25 23:00:00+04,9
330764,43dc4fc1-b1c1-4291-947e-5a286996eb75,2020,2,25,22,369.6600036621094,21.600000381469727,1,37329780.0,37329412.0,2020-02-25 22:59:59.999+04,2020-02-25 22:59:59.999+04,2020-02-25 22:00:00+04,2020-02-25 22:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2020-02-25 22:00:00+04,9
330777,43dc4fc1-b1c1-4291-947e-5a286996eb75,2020,2,25,21,369.6600036621094,21.600000381469727,1,37329412.0,37329040.0,2020-02-25 21:59:59.999+04,2020-02-25 21:59:59.999+04,2020-02-25 21:00:00+04,2020-02-25 21:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2020-02-25 21:00:00+04,9
330816,43dc4fc1-b1c1-4291-947e-5a286996eb75,2020,2,25,20,369.6499938964844,21.780000686645508,1,37329040.0,37328672.0,2020-02-25 20:59:59.999+04,2020-02-25 20:59:59.999+04,2020-02-25 20:00:00+04,2020-02-25 20:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2020-02-25 20:00:00+04,9
330850,43dc4fc1-b1c1-4291-947e-5a286996eb75,2020,2,25,19,341.2200012207031,22.70000076293945,1,37328672.0,37328332.0,2020-02-25 19:59:59.999+04,2020-02-25 19:59:59.999+04,2020-02-25 19:00:00+04,2020-02-25 19:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2020-02-25 19:00:00+04,9
330876,43dc4fc1-b1c1-4291-947e-5a286996eb75,2020,2,25,18,398.0899963378906,22.70000076293945,1,37328332.0,37327932.0,2020-02-25 18:59:59.999+04,2020-02-25 18:59:59.999+04,2020-02-25 18:00:00+04,2020-02-25 18:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2020-02-25 18:00:00+04,9
330889,43dc4fc1-b1c1-4291-947e-5a286996eb75,2020,2,25,17,398.0899963378906,22.70000076293945,1,37327932.0,37327536.0,2020-02-25 17:59:59.999+04,2020-02-25 17:59:59.999+04,2020-02-25 17:00:00+04,2020-02-25 17:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2020-02-25 17:00:00+04,9
330917,43dc4fc1-b1c1-4291-947e-5a286996eb75,2020,2,25,16,426.5299987792969,22.70000076293945,1,37327536.0,37327108.0,2020-02-25 16:59:59.999+04,2020-02-25 16:59:59.999+04,2020-02-25 16:00:00+04,2020-02-25 16:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2020-02-25 16:00:00+04,9
330958,43dc4fc1-b1c1-4291-947e-5a286996eb75,2020,2,25,15,426.5199890136719,22.70000076293945,1,37327108.0,37326680.0,2020-02-25 15:59:59.999+04,2020-02-25 15:59:59.999+04,2020-02-25 15:00:00+04,2020-02-25 15:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2020-02-25 15:00:00+04,9
330997,43dc4fc1-b1c1-4291-947e-5a286996eb75,2020,2,25,14,454.9599914550781,23.20000076293945,1,37326680.0,37326228.0,2020-02-25 14:59:59.999+04,2020-02-25 14:59:59.999+04,2020-02-25 14:00:00+04,2020-02-25 14:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2020-02-25 14:00:00+04,9
331011,43dc4fc1-b1c1-4291-947e-5a286996eb75,2020,2,25,13,426.5199890136719,23.29999923706055,1,37326228.0,37325800.0,2020-02-25 13:59:59.999+04,2020-02-25 13:59:59.999+04,2020-02-25 13:00:00+04,2020-02-25 13:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2020-02-25 13:00:00+04,9
331049,43dc4fc1-b1c1-4291-947e-5a286996eb75,2020,2,25,12,426.5199890136719,23.29999923706055,1,37325800.0,37325372.0,2020-02-25 12:59:59.999+04,2020-02-25 12:59:59.999+04,2020-02-25 12:00:00+04,2020-02-25 12:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2020-02-25 12:00:00+04,9
331061,43dc4fc1-b1c1-4291-947e-5a286996eb75,2020,2,25,11,369.6600036621094,23.29999923706055,1,37325372.0,37325004.0,2020-02-25 11:59:59.999+04,2020-02-25 11:59:59.999+04,2020-02-25 11:00:00+04,2020-02-25 11:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2020-02-25 11:00:00+04,9
331104,43dc4fc1-b1c1-4291-947e-5a286996eb75,2020,2,25,10,369.6499938964844,23.29999923706055,1,37325004.0,37324636.0,2020-02-25 10:59:59.999+04,2020-02-25 10:59:59.999+04,2020-02-25 10:00:00+04,2020-02-25 10:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2020-02-25 10:00:00+04,9
331124,43dc4fc1-b1c1-4291-947e-5a286996eb75,2020,2,25,9,284.3500061035156,23.46999931335449,1,37324636.0,37324348.0,2020-02-25 09:59:59.999+04,2020-02-25 09:59:59.999+04,2020-02-25 09:00:00+04,2020-02-25 09:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2020-02-25 09:00:00+04,9
331158,43dc4fc1-b1c1-4291-947e-5a286996eb75,2020,2,25,8,312.7900085449219,24.29999923706055,1,37324348.0,37324036.0,2020-02-25 08:59:59.999+04,2020-02-25 08:59:59.999+04,2020-02-25 08:00:00+04,2020-02-25 08:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2020-02-25 08:00:00+04,9
331195,43dc4fc1-b1c1-4291-947e-5a286996eb75,2020,2,25,7,284.3500061035156,24.29999923706055,1,37324036.0,37323752.0,2020-02-25 07:59:59.999+04,2020-02-25 07:59:59.999+04,2020-02-25 07:00:00+04,2020-02-25 07:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2020-02-25 07:00:00+04,9
331208,43dc4fc1-b1c1-4291-947e-5a286996eb75,2020,2,25,6,284.3500061035156,24.29999923706055,1,37323752.0,37323468.0,2020-02-25 06:59:59.999+04,2020-02-25 06:59:59.999+04,2020-02-25 06:00:00+04,2020-02-25 06:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2020-02-25 06:00:00+04,9
331242,43dc4fc1-b1c1-4291-947e-5a286996eb75,2020,2,25,5,255.91000366210938,24.29999923706055,1,37323468.0,37323212.0,2020-02-25 05:59:59.999+04,2020-02-25 05:59:59.999+04,2020-02-25 05:00:00+04,2020-02-25 05:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2020-02-25 05:00:00+04,9
331269,43dc4fc1-b1c1-4291-947e-5a286996eb75,2020,2,25,4,284.3500061035156,24.29999923706055,1,37323212.0,37322928.0,2020-02-25 04:59:59.999+04,2020-02-25 04:59:59.999+04,2020-02-25 04:00:00+04,2020-02-25 04:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2020-02-25 04:00:00+04,9
331301,43dc4fc1-b1c1-4291-947e-5a286996eb75,2020,2,25,3,341.2200012207031,24.29999923706055,1,37322928.0,37322588.0,2020-02-25 03:59:59.999+04,2020-02-25 03:59:59.999+04,2020-02-25 03:00:00+04,2020-02-25 03:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2020-02-25 03:00:00+04,9
331325,43dc4fc1-b1c1-4291-947e-5a286996eb75,2020,2,25,2,255.91000366210938,24.29999923706055,1,37322588.0,37322332.0,2020-02-25 02:59:59.999+04,2020-02-25 02:59:59.999+04,2020-02-25 02:00:00+04,2020-02-25 02:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2020-02-25 02:00:00+04,9
331374,43dc4fc1-b1c1-4291-947e-5a286996eb75,2020,2,25,1,369.6499938964844,24.29999923706055,1,37322332.0,37321960.0,2020-02-25 01:59:59.999+04,2020-02-25 01:59:59.999+04,2020-02-25 01:00:00+04,2020-02-25 01:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2020-02-25 01:00:00+04,9
331390,43dc4fc1-b1c1-4291-947e-5a286996eb75,2020,2,25,0,369.6600036621094,24.29999923706055,1,37321960.0,37321592.0,2020-02-25 00:59:59.999+04,2020-02-25 00:59:59.999+04,2020-02-25 00:00:00+04,2020-02-25 00:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2020-02-25 00:00:00+04,9
331426,43dc4fc1-b1c1-4291-947e-5a286996eb75,2020,2,24,23,312.7799987792969,24.29999923706055,0,37321592.0,37321280.0,2020-02-24 23:59:59.999+04,2020-02-24 23:59:59.999+04,2020-02-24 23:00:00+04,2020-02-24 23:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2020-02-24 23:00:00+04,9
331451,43dc4fc1-b1c1-4291-947e-5a286996eb75,2020,2,24,22,369.6600036621094,24.29999923706055,0,37321280.0,37320908.0,2020-02-24 22:59:59.999+04,2020-02-24 22:59:59.999+04,2020-02-24 22:00:00+04,2020-02-24 22:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2020-02-24 22:00:00+04,9
331490,43dc4fc1-b1c1-4291-947e-5a286996eb75,2020,2,24,21,369.6499938964844,24.29999923706055,0,37320908.0,37320540.0,2020-02-24 21:59:59.999+04,2020-02-24 21:59:59.999+04,2020-02-24 21:00:00+04,2020-02-24 21:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2020-02-24 21:00:00+04,9
331519,43dc4fc1-b1c1-4291-947e-5a286996eb75,2020,2,24,20,341.2200012207031,24.56999969482422,0,37320540.0,37320200.0,2020-02-24 20:59:59.999+04,2020-02-24 20:59:59.999+04,2020-02-24 20:00:00+04,2020-02-24 20:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2020-02-24 20:00:00+04,9
331543,43dc4fc1-b1c1-4291-947e-5a286996eb75,2020,2,24,19,341.2200012207031,24.70000076293945,0,37320200.0,37319856.0,2020-02-24 19:59:59.999+04,2020-02-24 19:59:59.999+04,2020-02-24 19:00:00+04,2020-02-24 19:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2020-02-24 19:00:00+04,9
331570,43dc4fc1-b1c1-4291-947e-5a286996eb75,2020,2,24,18,369.6600036621094,24.70000076293945,0,37319856.0,37319488.0,2020-02-24 18:59:59.999+04,2020-02-24 18:59:59.999+04,2020-02-24 18:00:00+04,2020-02-24 18:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2020-02-24 18:00:00+04,9
331586,43dc4fc1-b1c1-4291-947e-5a286996eb75,2020,2,24,17,369.6499938964844,24.70000076293945,0,37319488.0,37319116.0,2020-02-24 17:59:59.999+04,2020-02-24 17:59:59.999+04,2020-02-24 17:00:00+04,2020-02-24 17:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2020-02-24 17:00:00+04,9
331629,43dc4fc1-b1c1-4291-947e-5a286996eb75,2020,2,24,16,398.0899963378906,24.70000076293945,0,37319116.0,37318720.0,2020-02-24 16:59:59.999+04,2020-02-24 16:59:59.999+04,2020-02-24 16:00:00+04,2020-02-24 16:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2020-02-24 16:00:00+04,9
331665,43dc4fc1-b1c1-4291-947e-5a286996eb75,2020,2,24,15,398.0899963378906,24.70000076293945,0,37318720.0,37318320.0,2020-02-24 15:59:59.999+04,2020-02-24 15:59:59.999+04,2020-02-24 15:00:00+04,2020-02-24 15:00:00+04,f3cb9be4-dd55-4734-8583-bc7fe5a32199,e92358c0-8324-41ca-be4a-10ffe68acb0d,2020-02-24 15:00:00+04,9
